uuid,city,station_name,latitude,longitude,surface_material,sample_type,num_reads,control_type
haib17CEM5106_HCCGHCCXY_SL270291,london,angel,51.53257057,-0.105772295,glass,environmental_microbiome,10154253.0,
haib17CEM5106_HCCGHCCXY_SL270292,london,old street,51.52567304,-0.087540958,glass,environmental_microbiome,25814020.0,
haib17CEM5106_HCCGHCCXY_SL270280,london,totteridge and whetstone,51.63026513,-0.179247175,glass,environmental_microbiome,6720481.0,
haib17CEM5106_HCCGHCCXY_SL270293,london,borough,51.5012707,-0.093692651,glass,environmental_microbiome,12062209.0,
haib17CEM5106_HCCGHCCXY_SL270294,london,kennington,51.48819371,-0.10547519,glass,environmental_microbiome,8994963.0,
haib17CEM5106_HCCGHCCXY_SL270295,london,oval,51.482032,-0.112797,glass,environmental_microbiome,3101085.0,
haib17CEM5106_HCCGHCCXY_SL270296,london,clapham north,51.46492348,-0.129515616,glass,environmental_microbiome,3612420.0,
haib17CEM5106_HCCGHCCXY_SL270297,london,clapham common,51.46180336,-0.138295129,glass,environmental_microbiome,3648635.0,
haib17CEM5106_HCCGHCCXY_SL270298,london,clapham south,51.45267416,-0.14795997,glass,environmental_microbiome,4634675.0,
haib17CEM5106_HCCGHCCXY_SL270299,london,balham,51.44340406,-0.153182996,glass,environmental_microbiome,7208701.0,
haib17CEM5106_HCCGHCCXY_SL270300,london,tooting bec,51.43583612,-0.159677894,glass,environmental_microbiome,3449310.0,
haib17CEM5106_HCCGHCCXY_SL270281,london,woodside park,51.61787278,-0.185394277,glass,environmental_microbiome,8835832.0,
haib17CEM5106_HCCGHCCXY_SL270301,london,tooting broadway,51.42751601,-0.167954323,glass,environmental_microbiome,1048801.0,
haib17CEM5106_HCCGHCCXY_SL270302,london,colliers wood,51.41814951,-0.177678808,glass,environmental_microbiome,313290.0,
haib17CEM5106_HCCGHCCXY_SL270303,london,south wimbledon,51.415307,-0.191915,glass,environmental_microbiome,507024.0,
haib17CEM5106_HCCGHCCXY_SL270304,london,morden,51.40241312,-0.194767862,glass,environmental_microbiome,427727.0,
haib17CEM5106_HCCGHCCXY_SL270305,london,edgeware,51.61368485,-0.274946709,glass,environmental_microbiome,828772.0,
haib17CEM5106_HCCGHCCXY_SL270306,london,burnt oak,51.60273831,-0.264170829,glass,environmental_microbiome,188255.0,
haib17CEM5106_HCCGHCCXY_SL270307,london,colindale,51.59535142,-0.250108975,glass,environmental_microbiome,155084.0,
haib17CEM5106_HCCGHCCXY_SL270308,london,hendon central,51.58335804,-0.226465843,glass,environmental_microbiome,197372.0,
haib17CEM5106_HCCGHCCXY_SL270309,london,brent cross,51.57686088,-0.213428926,glass,environmental_microbiome,267972.0,
haib17CEM5106_HCCGHCCXY_SL270310,london,golders green,51.57228586,-0.19396566,glass,environmental_microbiome,148380.0,
haib17CEM5106_HCCGHCCXY_SL270282,london,west finchley,51.60954907,-0.188445598,glass,environmental_microbiome,3821205.0,
haib17CEM5106_HCCGHCCXY_SL270311,london,hampstead,51.55675484,-0.17820292,glass,environmental_microbiome,110279.0,
haib17CEM5106_HCCGHCCXY_SL270312,london,belsize park,51.55049384,-0.164212238,glass,environmental_microbiome,258828.0,
haib17CEM5106_HCCGHCCXY_SL270313,london,chalk farm,51.5441519,-0.153701577,glass,environmental_microbiome,399091.0,
haib17CEM5106_HCCGHCCXY_SL270314,london,goodge street,51.52049909,-0.134642741,glass,environmental_microbiome,1409401.0,
haib17CEM5106_HCCGHCCXY_SL270319,london,leicester square,51.51129079,-0.12822255,glass,environmental_microbiome,460935.0,
haib17CEM5106_HCCGHCCXY_SL270283,london,finchley central,51.601,-0.1924,glass,environmental_microbiome,5073371.0,
haib17CEM5106_HCCGHCCXY_SL270284,london,east finchley,51.58733501,-0.164725648,glass,environmental_microbiome,6688386.0,
haib17CEM5106_HCCGHCCXY_SL270285,london,highgate,51.57765885,-0.146618543,glass,environmental_microbiome,11678369.0,
haib17CEM5106_HCCGHCCXY_SL270286,london,archway,51.56549578,-0.135099708,glass,environmental_microbiome,11614639.0,
haib17CEM5106_HCCGHCCXY_SL270287,london,tufnell park,51.55673669,-0.137907511,glass,environmental_microbiome,8146998.0,
haib17CEM5106_HCCGHCCXY_SL270537,london,walthamstow central,51.58302266,-0.01991023,glass,environmental_microbiome,3796944.0,
haib17CEM5106_HCCGHCCXY_SL270546,london,oxford circus,51.51519833,-0.141753096,glass,environmental_microbiome,1869014.0,
haib17CEM5106_HCCGHCCXY_SL270547,london,green paark,51.50691892,-0.142899998,glass,environmental_microbiome,1261009.0,
haib17CEM5106_HCCGHCCXY_SL270548,london,victoria,51.49641574,-0.143828518,glass,environmental_microbiome,990309.0,
haib17CEM5106_HCCGHCCXY_SL270549,london,pimlico,51.48926702,-0.13371586,glass,environmental_microbiome,2374407.0,
haib17CEM5106_HCCGHCCXY_SL270550,london,vauxhall,51.48580284,-0.123728675,glass,environmental_microbiome,1241590.0,
haib17CEM5106_HCCGHCCXY_SL270551,london,stockwell,51.47224114,-0.122895213,glass,environmental_microbiome,2069770.0,
haib17CEM5106_HCCGHCCXY_SL270552,london,brixton,51.46265326,-0.114611795,glass,environmental_microbiome,1568156.0,
haib17CEM5106_HCCGHCCXY_SL270538,london,blackhorse road,51.58701271,-0.040984391,glass,environmental_microbiome,944475.0,
haib17CEM5106_HCCGHCCXY_SL270539,london,tottenham hale,51.58811284,-0.060276117,glass,environmental_microbiome,1956816.0,
haib17CEM5106_HCCGHCCXY_SL270540,london,seven sisters,51.58341409,-0.07247832,glass,environmental_microbiome,757599.0,
haib17CEM5106_HCCGHCCXY_SL270541,london,finsbury park,51.56447095,-0.106495674,glass,environmental_microbiome,1327320.0,
haib17CEM5106_HCCGHCCXY_SL270542,london,highbury and islington,51.54630074,-0.103948483,glass,environmental_microbiome,1804620.0,
haib17CEM5106_HCCGHCCXY_SL270543,london,king's cross st. pancras,51.53046702,-0.123838556,glass,environmental_microbiome,4961717.0,
haib17CEM5106_HCCGHCCXY_SL270544,london,euston,51.52866595,-0.133265016,glass,environmental_microbiome,1931646.0,
haib17CEM5106_HCCGHCCXY_SL270545,london,warren street,51.52458249,-0.138254185,glass,environmental_microbiome,1492758.0,
haib17CEM5106_HCCGHCCXY_SL270441,london,harrow and wealdstone,51.59226368,-0.335193509,metal,environmental_microbiome,2009106.0,
haib17CEM5106_HCCGHCCXY_SL270450,london,queen's park,51.53416707,-0.204675391,metal,environmental_microbiome,6276311.0,
haib17CEM5106_HCCGHCCXY_SL270451,london,kilburn park,51.53513992,-0.193943923,rubber,environmental_microbiome,3181517.0,
haib17CEM5106_HCCGHCCXY_SL270452,london,maida vale,51.52982887,-0.185609035,rubber,environmental_microbiome,4968524.0,
haib17CEM5106_HCCGHCCXY_SL270453,london,warwick avenue,51.52334544,-0.183649798,rubber,environmental_microbiome,5046126.0,
haib17CEM5106_HCCGHCCXY_SL270454,london,paddington,51.51537887,-0.175365294,rubber,environmental_microbiome,2897432.0,
haib17CEM5106_HCCGHCCXY_SL270455,london,edgeware road,51.51999407,-0.167644928,metal,environmental_microbiome,3771326.0,
haib17CEM5106_HCCGHCCXY_SL270456,london,marylebone,51.52229675,-0.163080891,metal,environmental_microbiome,6081296.0,
haib17CEM5106_HCCGHCCXY_SL270457,london,baker street,51.52313116,-0.156881847,metal,environmental_microbiome,5052395.0,
haib17CEM5106_HCCGHCCXY_SL270458,london,regent's park,51.52357375,-0.146845189,metal,environmental_microbiome,11050293.0,
haib17CEM5106_HCCGHCCXY_SL270459,london,oxford circus,51.51519833,-0.141753096,metal,environmental_microbiome,7627596.0,
haib17CEM5106_HCCGHCCXY_SL270442,london,kenton,51.58184637,-0.317125399,metal,environmental_microbiome,2297519.0,
haib17CEM5106_HCCGHCCXY_SL270460,london,picadilly circus,51.51010128,-0.133994054,metal,environmental_microbiome,1844036.0,
haib17CEM5106_HCCGHCCXY_SL270461,london,charing cross,51.50866134,-0.124733426,metal,environmental_microbiome,2119004.0,
haib17CEM5106_HCCGHCCXY_SL270462,london,embankment,51.50731012,-0.122340604,metal,environmental_microbiome,546534.0,
haib17CEM5106_HCCGHCCXY_SL270463,london,waterloo,51.50357644,-0.114051784,rubber,environmental_microbiome,610828.0,
haib17CEM5106_HCCGHCCXY_SL270464,london,lambeth north,51.49913109,-0.111745717,metal,environmental_microbiome,6359518.0,
haib17CEM5106_HCCGHCCXY_SL270465,london,elephant and castle,51.49584772,-0.100711857,metal,environmental_microbiome,12224292.0,
haib17CEM5106_HCCGHCCXY_SL270443,london,south kenton,51.57023141,-0.308554798,metal,environmental_microbiome,2169668.0,
haib17CEM5106_HCCGHCCXY_SL270444,london,north wembley,51.56254897,-0.304116057,metal,environmental_microbiome,1152288.0,
haib17CEM5106_HCCGHCCXY_SL270445,london,wembley central,51.55239319,-0.296820887,wood,environmental_microbiome,6308708.0,
haib17CEM5106_HCCGHCCXY_SL270446,london,stonebridge park,51.54398955,-0.275371113,metal,environmental_microbiome,5334352.0,
haib17CEM5106_HCCGHCCXY_SL270447,london,harlesden,51.53625519,-0.257476566,metal,environmental_microbiome,17746156.0,
haib17CEM5106_HCCGHCCXY_SL270448,london,willesden junction,51.53225984,-0.244259053,metal,environmental_microbiome,3268142.0,
haib17CEM5106_HCCGHCCXY_SL270449,london,kensal green,51.5305265,-0.224683208,metal,environmental_microbiome,3004873.0,
haib17CEM5106_HCY5HCCXY_SL271183,london,greenford,51.54236162,-0.34641202,rubber,environmental_microbiome,4512244.0,
haib17CEM5106_HCCGHCCXY_SL270206,london,queensway,51.51045317,-0.187402539,metal,environmental_microbiome,4442430.0,
haib17CEM5106_HCCGHCCXY_SL270207,london,marble arch,51.51361041,-0.158415035,metal,environmental_microbiome,3615834.0,
haib17CEM5106_HCCGHCCXY_SL270208,london,bond street,51.51387906,-0.149315708,metal,environmental_microbiome,4205634.0,
haib17CEM5106_HCCGHCCXY_SL270209,london,oxford circus,51.51519833,-0.141753096,metal,environmental_microbiome,2836334.0,
haib17CEM5106_HCCGHCCXY_SL270210,london,tottenham court road,51.51627608,-0.13085605,metal,environmental_microbiome,4175640.0,
haib17CEM5106_HCCGHCCXY_SL270211,london,holborn,51.5175063,-0.119995446,metal,environmental_microbiome,3119655.0,
haib17CEM5106_HCCGHCCXY_SL270212,london,chancery lane,51.51819437,-0.111660401,rubber,environmental_microbiome,6633905.0,
haib17CEM5106_HCCGHCCXY_SL270213,london,st. paul's,51.51487573,-0.097559304,rubber,environmental_microbiome,2587477.0,
haib17CEM5106_HCCGHCCXY_SL270214,london,bank,51.5133735,-0.088906725,rubber,environmental_microbiome,1759322.0,
haib17CEM5106_HCY5HCCXY_SL271184,london,perivale,51.53665913,-0.323817282,metal,environmental_microbiome,3275713.0,
haib17CEM5106_HCCGHCCXY_SL270215,london,liverpool street,51.51742113,-0.082958757,rubber,environmental_microbiome,2762975.0,
haib17CEM5106_HCCGHCCXY_SL270216,london,bethnal green,51.52726755,-0.055423847,rubber,environmental_microbiome,1284902.0,
