surface_canon,n_samples,n_stations,reads_median,reads_mean
bench;platform,189,170,2398479.0,2801664.4444444445
ticket_hall;ticket_machine,170,168,3656700.0,4389785.988235294
handrail,141,132,3370261.0,3350135.624113475
escalator_handrail,44,41,387616.0,1398795.1363636365
-,3,3,6977303.0,7799377.333333333
-;unspecified,3,3,812646.0,632908.6666666666
handrail;platform,1,1,310359.0,310359.0
