,Camden Kerbside,,Haringey Roadside,,London Bexley,,London Bloomsbury,,London Eltham,,London Harlington,,London Harrow Stanmore,,London Honor Oak Park,,London Marylebone Road,,London N. Kensington,,London Teddington Bushy Park,,London Westminster,
Latitude,51.544233,,51.5993,,51.46603,,51.52229,,51.45258,,51.48879,,51.617333,,51.449674,,51.52253,,51.52105,,51.425286,,51.49467,
Longitude,-0.175228,,-0.068218,,0.184806,,-0.125889,,0.070766,,-0.441614,,-0.298777,,-0.037418,,-0.154611,,-0.213419,,-0.345606,,-0.131931,
Site Type,Urban Traffic,,Urban Traffic,,Suburban Background,,Urban Background,,Suburban Background,,Urban Industrial,,Urban Background,,Urban Background,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,
Zone,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,
Agglomeration,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,Camden,,Haringey,,Bexley,,Camden,,Greenwich,,Hillingdon,,Harrow,,Lewisham,,Westminster,,Kensington,,Richmond,,Westminster,
Date,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
2014/1/11,13,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),,,12,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/12,24,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),,,24,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/13,7,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),,,13,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/14,9,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),,,15,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/15,7,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),,,13,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/16,6,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),,,14,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/17,7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),,,14,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/18,12,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),,,12,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/19,11,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),,,15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/20,26,V ugm-3 (TEOM FDMS),49,V ugm-3 (TEOM FDMS),44,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),,,29,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/21,26,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),,,33,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/22,13,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),,,21,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/23,9,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),,,18,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/24,14,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),,,17,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/25,9,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),,,14,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/26,6,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),,,10,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/27,6,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),,,13,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/28,7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),,,12,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/29,13,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),,,No data,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/30,24,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),,,No data,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/1/31,17,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),,,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/2/1,5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),,,10,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/2/2,8,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),,,14,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/2/3,10,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),,,12,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
2014/2/4,7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),,,12,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),,
